time_s,accel_x_g,accel_y_g,accel_z_g,light_norm,temp_1_c,temp_2_c
0.000000000,-0.0315478,0.0845284,0.9982015,0.0300703,36.3902636,36.4063641
0.010000000,-0.0333723,0.0858402,0.9959458,0.0389905,36.4162318,36.3382809
0.020000000,-0.0335186,0.0851148,0.9949839,0.0339930,36.4023268,36.3843213
0.030000000,-0.0329828,0.0844345,0.9971501,0.0294417,36.4233207,36.3753819
0.040000000,-0.0351478,0.0859677,1.0012991,0.0337130,36.3641391,36.4078647
0.050000000,-0.0362294,0.0863547,0.9923432,0.0372965,36.3862604,36.4245547
0.060000000,-0.0359331,0.0859974,0.9966762,0.0350690,36.4064581,36.4008854
0.070000000,-0.0312417,0.0925054,0.9955607,0.0311605,36.4133394,36.3684488
0.080000000,-0.0370187,0.0853872,0.9935398,0.0332453,36.4100688,36.4143291
0.090000000,-0.0306098,0.0839596,0.9978510,0.0378637,36.3981919,36.4200367
0.100000000,-0.0341221,0.0851710,0.9969717,0.0378586,36.3891504,36.4058954
0.110000000,-0.0341632,0.0882513,0.9965454,0.0336173,36.4145366,36.3740400
0.120000000,-0.0364835,0.0874361,0.9951604,0.0375648,36.3984135,36.4113929
0.130000000,-0.0312698,0.0863113,0.9979742,0.0417706,36.3894051,36.4237263
0.140000000,-0.0342035,0.0883051,0.9977714,0.0358514,36.3763967,36.3801413
0.150000000,-0.0336271,0.0893547,0.9949557,0.0352657,36.4120236,36.3817707
0.160000000,-0.0325706,0.0813347,0.9973769,0.0299417,36.3849039,36.3877491
0.170000000,-0.0367159,0.0825243,0.9948473,0.0344499,36.3955928,36.3768463
0.180000000,-0.0386603,0.0865285,0.9928150,0.0379244,36.4138264,36.4362783
0.190000000,-0.0360663,0.0880811,0.9983148,0.0293374,36.4087895,36.4101067
0.200000000,-0.0355912,0.0859156,0.9953941,0.0389393,36.4115514,36.4120303
0.210000000,-0.0350859,0.0878295,0.9986596,0.0352238,36.4073729,36.3928301
0.220000000,-0.0365673,0.0858648,0.9943598,0.0320586,36.4038405,36.3848476
0.230000000,-0.0342085,0.0889602,0.9926809,0.0359433,36.3992437,36.4194627
0.240000000,-0.0355791,0.0880177,0.9959393,0.0389263,36.4122805,36.3990725
0.250000000,-0.0321933,0.0871482,0.9982750,0.0330480,36.3795116,36.4056608
0.260000000,-0.0354269,0.0856123,0.9941900,0.0324934,36.3869754,36.3914449
0.270000000,-0.0335467,0.0857725,0.9940499,0.0354927,36.3922843,36.4320204
0.280000000,-0.0340109,0.0920417,0.9974878,0.0334411,36.3960762,36.4047197
0.290000000,-0.0339298,0.0895390,0.9922421,0.0375718,36.3942802,36.3948576
0.300000000,-0.0350830,0.0844306,0.9940587,0.0402473,36.4211035,36.4131514
0.310000000,-0.0351247,0.0825344,0.9920761,0.0414184,36.3651595,36.3894820
0.320000000,-0.0373991,0.0878414,0.9985294,0.0299860,36.3942321,36.3710275
0.330000000,-0.0384645,0.0882998,0.9926468,0.0375620,36.4164973,36.4116401
0.340000000,-0.0354373,0.0912453,0.9933915,0.0345381,36.3904375,36.3828558
0.350000000,-0.0364147,0.0866091,0.9946400,0.0369548,36.4284107,36.4543879
