Ref,Val,Package,PosX,PosY,Rot,Side
"C1","C_Polarized","CPX3225A",146.400000,-95.850000,-90.000000,top
"C2","C_Polarized","CPX3225A",148.950000,-95.850000,-90.000000,top
"C4","100n","C_0603_1608Metric",157.050000,-96.900000,0.000000,top
"C5","100n","C_0603_1608Metric",164.075000,-91.650000,180.000000,top
"C6","100n","C_0603_1608Metric",142.500000,-92.250000,0.000000,top
"C7","100n","C_0603_1608Metric",164.075000,-93.150000,180.000000,top
"C12","100n","C_0603_1608Metric",164.075000,-94.650000,180.000000,top
"C13","100n","C_0603_1608Metric",142.500000,-93.750000,180.000000,top
"C14","100n","C_0603_1608Metric",179.000000,-95.725000,-90.000000,top
"D1","D_Zener_3v3","D_SOD-323F",141.900000,-96.150000,-90.000000,top
"D2","BAS316","D_SOD-323",143.850000,-96.150000,90.000000,top
"D3","D_Photo","pd_vemd1060x01",152.850000,-91.200000,0.000000,top
"J1","Conn_ARM_JTAG_SWD_10","PinHeader_2x05_P1.27mm_Vertical",162.000000,-84.875000,-90.000000,top
"J2","Conn_01x08_Pin","fpc_503480-0800",154.320000,-81.320000,0.000000,top
"J3","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",144.260000,-85.650000,90.000000,top
"R2","100k","R_0603_1608Metric",145.050000,-92.250000,90.000000,top
"R3","100k","R_0603_1608Metric",146.550000,-92.250000,90.000000,top
"R4","100k","R_0603_1608Metric",148.050000,-92.250000,90.000000,top
"R7","R","R_0603_1608Metric",156.000000,-90.900000,0.000000,top
"U1","ST25DV04K-JFR6D3","PSON50P300X300X60-13N",138.162500,-95.700000,0.000000,top
"U2","AM1805","QFN-16-1EP_3x3mm_P0.5mm_EP1.7x1.7mm",153.300000,-95.512500,-90.000000,top
"U4","STM32L011F3Ux","ST_UFQFPN-20_3x3mm_P0.5mm",160.200000,-92.700000,0.000000,top
"U5","LIS2DW12","Kionix_LGA-12_2x2mm_P0.5mm_LayoutBorder2x4y",160.050000,-96.300000,180.000000,top
"U6","TS3A44159","RSV16",138.150000,-91.950000,-90.000000,top
"U7","TMP119","DSBGA6_YBG_TEX",181.000000,-95.800000,-90.000000,top
"Y1","Crystal","ABS05W_Crystal",156.300000,-94.950000,-90.000000,top
