release,source_revision,temperature_mode,photodiode_enabled,acceleration_enabled,common_interval_s,supply_voltage_v,status,old_temperature_valid_samples,tmp119_valid_samples,photodiode_valid_samples,acceleration_valid_samples,old_temperature_conversions,tmp119_conversions,due_masks,i2c_bytes,rtc_reads,rtc_writes,eeprom_data_page_programs,eeprom_metadata_page_programs,wake_duration_ms,supply_current_ua,integrated_energy_uj,off_state_leakage_ua,initialization_energy_uj,recovery_energy_uj,notes
R1,,old-only,false,false,120,2.6,unmeasured,,,,,,,,,,,,,,,,,,,No hardware available.
R1,,old-only,false,false,10,2.6,unmeasured,,,,,,,,,,,,,,,,,,,No hardware available.
R1,,old-only,false,false,120,2.2,unmeasured,,,,,,,,,,,,,,,,,,,No hardware available.
R1,,old-only,false,false,10,2.2,unmeasured,,,,,,,,,,,,,,,,,,,No hardware available.
R1,,old-only,false,false,120,1.8,unmeasured,,,,,,,,,,,,,,,,,,,No hardware available.
R1,,old-only,false,false,10,1.8,unmeasured,,,,,,,,,,,,,,,,,,,No hardware available.
R1,,old-only,false,true,120,2.6,unmeasured,,,,,,,,,,,,,,,,,,,No hardware available.
R1,,old-only,false,true,10,2.6,unmeasured,,,,,,,,,,,,,,,,,,,No hardware available.
R1,,old-only,false,true,120,2.2,unmeasured,,,,,,,,,,,,,,,,,,,No hardware available.
R1,,old-only,false,true,10,2.2,unmeasured,,,,,,,,,,,,,,,,,,,No hardware available.
R1,,old-only,false,true,120,1.8,unmeasured,,,,,,,,,,,,,,,,,,,No hardware available.
R1,,old-only,false,true,10,1.8,unmeasured,,,,,,,,,,,,,,,,,,,No hardware available.
R1,,old-only,true,false,120,2.6,unmeasured,,,,,,,,,,,,,,,,,,,No hardware available.
R1,,old-only,true,false,10,2.6,unmeasured,,,,,,,,,,,,,,,,,,,No hardware available.
R1,,old-only,true,false,120,2.2,unmeasured,,,,,,,,,,,,,,,,,,,No hardware available.
R1,,old-only,true,false,10,2.2,unmeasured,,,,,,,,,,,,,,,,,,,No hardware available.
R1,,old-only,true,false,120,1.8,unmeasured,,,,,,,,,,,,,,,,,,,No hardware available.
R1,,old-only,true,false,10,1.8,unmeasured,,,,,,,,,,,,,,,,,,,No hardware available.
